TOTAL           105437
getting              A2.1+               15 
advertised           I2.2                15 
Macs                 Z1                  15 
fashion              B5                  15 
drivers              M3                  15 
China                Z2                  15 
pieces               N5.1-               15 
container            O2                  15 
later                T4--                14 
miss                 A5.3-               14 
left                 M1                  14 
retail               I2.2                14 
it                   Y2                  14 
page                 Q1.2                14 
limited              N5-                 14 
properly             A5.3+               14 
cheaper              I1.3--              14 
priced               I1.3                14 
smooth               O4.5                14 
switch               A2.1+               14 
recently             T3---               14 
fully                A13.2               14 
shoot                G3                  14 
shot                 G3                  14 
before               N4                  14 
learn                X2.3+               14 
reviewers            Q4                  14 
tech                 Y1                  14 
book                 Q4.1                14 
really               A5.4+               14 
infomercial          Z99                 14 
kitchen              F1                  14 
sharp                O4.4                14 
website              Y2                  14 
thinking             X2.1                14 
offer                A9-                 14 
x30                  Z99                 14 
main                 A11.1+              14 
horrible             O4.2-               14 
remote               N3.3+               14 
Netflix              Z99                 14 
looks                A8                  14 
school               P1                  14 
tasks                A1.1.1              14 
guy                  S2.2                14 
16gb                 Z99                 14 
disk                 O2                  14 
dual                 N1                  14 
added                N5+                 14 
nicely               A5.1+               14 
thick                N3.7+               14 
monitor              O2                  14 
pro                  E2+                 14 
refund               I1.1+               14 
lenovo               Z99                 14 
blades               O2                  14 
putter               K5.1                14 
toys                 K6                  14 
robot                O3                  14 
mostly               A13.2               13 
bottle               O2                  13 
ended_up             T2-                 13 
lasts                T2++                13 
become               A2.1+               13 
likes                E2+                 13 
anywhere             M6                  13 
very                 A4.2+               13 
love                 S3.2                13 
guess                X2.1                13 
at_first             N4                  13 
otherwise            A6.1-               13 
daily                T1.1.2              13 
coating              O2                  13 
comparison           A6.1                13 
company              I2.1                13 
write                Q1.2                13 
edit                 Q1.2                13 
beat                 X9.2+               13 
family               S4                  13 
understand           X2.5+               13 
